	C1_s0_L001_R1_001_trimmed.fastqS.bam	C2_s0_L001_R1_001_trimmed.fastqS.bam	C3_s1_L001_R1_001_trimmed.fastqS.bam	C4_s0_L002_R1_001_trimmed.fastqS.bam	C5_s0_L002_R1_001_trimmed.fastqS.bam	NLA1_s0_L001_R1_001_trimmed.fastqS.bam	NLA2_s1_L001_R1_001_trimmed.fastqS.bam	NLA3_s0_L002_R1_001_trimmed.fastqS.bam	NLA4_s0_L002_R1_001_trimmed.fastqS.bam	NLA5_s0_L002_R1_001_trimmed.fastqS.bam	PLS1_s0_L001_R1_001_trimmed.fastqS.bam	PLS2_s0_L001_R1_001_trimmed.fastqS.bam	PLS3_s0_L002_R1_001_trimmed.fastqS.bam	PLS4_s0_L002_R1_001_trimmed.fastqS.bam	PLS5_s0_L002_R1_001_trimmed.fastqS.bam
hsa-miR-517b-3p	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0
hsa-miR-517c-3p	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-5186	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-5187-3p	1	2	1	5	6	0	4	1	0	2	0	1	2	4	1
hsa-miR-5187-5p	2	1	1	2	1	1	0	0	0	0	1	0	0	0	0
hsa-miR-5188	20	9	12	6	3	3	2	5	3	0	5	1	1	7	1
hsa-miR-5189-3p	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1
hsa-miR-5189-5p	3	2	1	1	2	0	1	0	0	0	0	0	1	0	0
hsa-miR-518a-3p	2	1	0	0	0	1	0	0	1	1	0	0	0	2	0
hsa-miR-518a-5p	2	5	2	2	4	1	0	0	0	0	0	0	0	2	0
hsa-miR-518b	3	7	4	5	2	1	2	1	0	0	0	0	0	0	0
hsa-miR-518c-3p	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0
hsa-miR-518c-5p	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-518d-3p	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-518d-5p	0	2	2	0	2	2	1	1	2	1	2	1	1	0	1
hsa-miR-518e-3p	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-518e-5p	3	4	2	0	3	0	0	0	0	0	0	1	0	0	0
hsa-miR-518f-3p	3	1	1	0	0	0	0	1	1	0	0	0	2	0	0
hsa-miR-518f-5p	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
hsa-miR-5190	0	2	2	0	0	0	0	1	0	0	0	0	0	1	0
hsa-miR-5191	0	3	0	2	1	4	4	0	0	1	1	1	1	1	0
hsa-miR-5192	2	3	0	0	0	0	0	0	0	0	0	0	0	1	1
hsa-miR-5193	0	1	0	1	2	0	3	3	0	2	0	1	1	1	1
hsa-miR-5194	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-5195-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5195-5p	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1
hsa-miR-5196-3p	8	13	17	21	17	11	10	12	1	3	3	6	5	2	2
hsa-miR-5196-5p	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-5197-3p	2	2	4	3	2	2	2	2	1	2	2	2	3	3	0
hsa-miR-5197-5p	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-519a-3p	1	2	2	2	1	0	1	1	0	2	1	0	0	0	0
hsa-miR-519a-5p	3	4	2	0	3	0	0	0	0	0	0	1	0	0	0
hsa-miR-519b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-519b-5p	3	4	2	0	3	0	0	0	0	0	0	1	0	0	0
hsa-miR-519c-3p	1	3	1	1	0	0	3	3	0	0	0	0	0	0	0
hsa-miR-519c-5p	3	4	2	0	3	0	0	0	0	0	0	1	0	0	0
hsa-miR-519d-3p	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0
hsa-miR-519d-5p	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-519e-3p	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-519e-5p	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0
hsa-miR-520a-3p	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-520a-5p	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-520b	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-520c-3p	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-520c-5p	0	2	2	0	2	2	1	1	2	1	2	1	1	0	1
hsa-miR-520d-3p	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0
hsa-miR-520d-5p	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-520e	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2
hsa-miR-520f-3p	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-520f-5p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-520g-3p	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1
hsa-miR-520g-5p	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0
hsa-miR-520h	0	0	0	0	2	1	0	2	0	0	0	1	0	1	1
hsa-miR-521	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-522-3p	1	1	0	1	1	3	0	0	3	0	1	0	1	0	0
hsa-miR-522-5p	3	4	2	0	3	0	0	0	0	0	0	1	0	0	0
hsa-miR-523-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-523-5p	3	4	2	0	3	0	0	0	0	0	0	1	0	0	0
hsa-miR-524-3p	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-524-5p	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-525-3p	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0
hsa-miR-525-5p	2	0	1	2	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-526a	0	2	2	0	2	2	1	1	2	1	2	1	1	0	1
hsa-miR-526b-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-526b-5p	1	3	0	1	1	0	0	0	1	0	0	0	1	0	0
hsa-miR-527	2	5	2	2	4	1	0	0	0	0	0	0	0	2	0
hsa-miR-532-3p	49	53	49	48	60	35	46	38	24	57	63	80	77	57	52
hsa-miR-532-5p	973	993	730	859	1044	760	1315	1030	341	698	1183	1095	1372	1446	964
hsa-miR-539-3p	353	373	312	395	460	155	186	179	91	156	220	260	222	65	9
hsa-miR-539-5p	43	63	34	106	136	25	32	32	9	8	28	33	30	6	3
hsa-miR-541-3p	1	4	3	7	1	1	1	0	0	0	4	2	3	1	0
hsa-miR-541-5p	3	2	2	5	6	0	1	3	2	0	5	2	1	2	0
hsa-miR-542-3p	80	102	72	92	99	56	110	80	42	65	56	54	39	58	46
hsa-miR-542-5p	9	8	11	6	14	2	11	9	5	12	5	3	2	6	0
hsa-miR-543	213	209	167	245	290	97	85	71	23	38	86	103	80	12	5
hsa-miR-544a	4	4	4	3	3	1	1	1	1	1	1	1	3	0	0
hsa-miR-544b	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
hsa-miR-545-3p	10	10	5	9	8	4	7	5	8	2	2	1	6	2	2
hsa-miR-545-5p	27	23	21	29	17	6	12	6	2	4	3	3	14	10	12
hsa-miR-548a-3p	6	8	5	7	8	2	6	4	4	4	4	1	4	6	1
hsa-miR-548a-5p	0	4	2	0	1	2	0	2	0	0	2	1	3	1	0
hsa-miR-548aa	12	17	3	14	19	4	7	11	2	8	10	5	7	5	1
hsa-miR-548ab	79	75	80	53	62	35	34	42	24	34	55	41	90	49	27
hsa-miR-548ac	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-548ad-3p	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-548ad-5p	208	245	175	160	176	133	148	143	88	112	124	149	182	130	38
hsa-miR-548ae-3p	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
hsa-miR-548ae-5p	208	245	175	160	176	133	148	143	88	112	124	149	182	130	38
hsa-miR-548ag	2	4	4	2	3	5	3	1	3	2	8	0	5	0	1
hsa-miR-548ah-3p	7	11	16	8	11	18	16	9	8	4	27	23	45	23	19
hsa-miR-548ah-5p	1	1	5	1	1	0	4	1	1	4	5	4	7	2	2
hsa-miR-548ai	3	6	3	1	5	1	1	1	1	1	2	1	4	2	1
hsa-miR-548aj-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
hsa-miR-548aj-5p	4	6	3	2	10	3	4	2	1	4	1	4	2	4	4
hsa-miR-548ak	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-548al	2	5	7	4	5	4	4	1	3	1	4	3	9	7	4
hsa-miR-548am-3p	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0
hsa-miR-548am-5p	25	39	29	30	27	21	28	15	10	19	21	17	22	31	17
hsa-miR-548an	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1
hsa-miR-548ao-3p	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0
hsa-miR-548ao-5p	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-548ap-3p	12	18	3	15	19	5	7	11	2	8	10	5	7	5	1
hsa-miR-548ap-5p	1	1	3	2	4	5	1	3	0	1	5	3	4	8	6
hsa-miR-548aq-3p	7	8	9	7	11	0	1	4	3	3	4	7	6	5	4
hsa-miR-548aq-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ar-3p	2	0	0	2	3	0	0	1	1	1	1	4	0	0	0
hsa-miR-548ar-5p	4	7	4	3	10	5	5	2	2	6	2	6	5	7	5
hsa-miR-548as-3p	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1
hsa-miR-548as-5p	0	1	0	0	0	1	1	0	0	1	0	0	0	3	0
hsa-miR-548at-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548at-5p	0	2	2	5	1	1	2	3	3	2	1	5	5	5	1
hsa-miR-548au-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548au-5p	27	47	33	32	31	25	31	17	11	24	23	20	28	34	17
hsa-miR-548av-3p	79	109	93	95	87	46	51	43	33	27	51	52	82	44	41
hsa-miR-548av-5p	156	207	182	120	145	148	227	169	111	128	187	168	264	158	172
hsa-miR-548aw	6	13	5	8	4	4	6	3	0	2	4	4	7	1	2
hsa-miR-548ax	1	1	2	1	2	1	3	2	2	1	4	0	2	2	2
hsa-miR-548ay-3p	0	3	1	2	2	2	3	5	0	3	6	0	1	2	1
hsa-miR-548ay-5p	105	149	88	89	87	62	75	69	48	53	48	73	88	58	12
hsa-miR-548az-3p	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0
hsa-miR-548az-5p	6	10	8	9	11	4	11	5	4	4	6	3	9	7	5
hsa-miR-548b-3p	7	2	5	4	12	2	4	3	1	10	8	5	15	16	2
hsa-miR-548b-5p	15	11	7	10	4	8	6	12	6	8	12	8	11	19	7
hsa-miR-548ba	13	7	8	4	5	1	8	8	5	4	9	8	11	11	2
hsa-miR-548bb-3p	3	1	2	0	0	3	1	1	0	1	3	1	2	1	0
hsa-miR-548bb-5p	1	2	1	0	2	1	0	0	0	2	1	0	0	0	0
hsa-miR-548c-3p	3	3	3	3	2	3	2	5	2	0	2	1	0	0	1
hsa-miR-548c-5p	25	39	29	30	27	21	28	15	10	19	21	17	22	31	17
hsa-miR-548d-3p	0	2	0	1	2	2	0	0	0	0	0	3	1	2	1
hsa-miR-548d-5p	98	136	83	87	80	57	69	64	43	52	47	70	84	58	12
hsa-miR-548e-3p	31	31	33	20	28	25	32	31	17	16	13	23	16	18	22
hsa-miR-548e-5p	50	58	36	33	47	27	40	33	30	23	14	22	22	21	17
hsa-miR-548f-3p	17	21	12	25	28	17	9	23	4	6	22	12	37	26	13
hsa-miR-548f-5p	0	2	0	1	4	1	0	1	0	2	1	2	0	1	1
hsa-miR-548g-3p	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0
hsa-miR-548g-5p	4	6	3	2	10	3	4	2	1	4	1	4	2	4	4
hsa-miR-548h-3p	6	11	8	9	11	7	9	9	3	8	5	6	9	5	2
hsa-miR-548h-5p	10	14	8	5	5	3	8	3	2	8	7	7	6	3	2
hsa-miR-548i	3	2	4	10	3	7	13	5	2	10	11	11	23	11	7
hsa-miR-548j-3p	3	1	0	0	1	0	1	1	0	1	2	0	6	3	3
hsa-miR-548j-5p	1	1	1	2	4	5	1	3	0	1	5	3	4	7	6
hsa-miR-548k	156	207	182	120	145	148	227	169	111	127	187	168	264	158	172
hsa-miR-548l	1	5	5	2	6	2	3	2	0	0	2	2	1	3	0
hsa-miR-548m	1	2	3	2	0	1	1	1	1	1	0	0	2	1	0
hsa-miR-548n	11	5	3	3	3	4	1	3	4	2	13	11	11	8	5
hsa-miR-548o-3p	72	97	74	87	74	28	33	34	25	22	24	29	35	19	22
hsa-miR-548o-5p	25	39	29	30	27	21	28	15	10	19	21	17	22	31	17
hsa-miR-548p	7	11	16	7	11	17	16	9	8	4	27	23	44	23	19
hsa-miR-548q	1	0	0	3	6	4	2	2	0	1	0	3	2	3	0
hsa-miR-548s	3	0	1	2	3	2	1	3	0	0	0	1	1	4	1
hsa-miR-548t-3p	12	17	3	14	19	4	7	11	2	8	10	5	7	5	1
hsa-miR-548t-5p	3	1	1	0	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-548u	3	5	3	1	4	2	2	2	1	1	2	2	2	3	2
hsa-miR-548v	17	14	13	7	7	6	5	3	2	4	0	0	0	0	0
hsa-miR-548w	4	3	0	2	8	6	1	2	1	4	6	5	7	2	3
hsa-miR-548x-3p	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-548x-5p	4	6	3	2	10	3	4	2	1	4	1	4	2	4	4
hsa-miR-548y	2	0	2	0	1	0	1	2	1	2	1	1	2	0	0
hsa-miR-548z	6	11	8	9	11	7	9	9	3	8	5	6	9	5	2
hsa-miR-549a	4	1	0	3	1	7	1	2	1	5	9	0	4	1	0
hsa-miR-550a-3-5p	24	21	23	16	15	11	9	11	4	9	10	6	23	16	9
hsa-miR-550a-3p	34	25	17	25	22	16	19	18	7	16	23	29	36	15	10
hsa-miR-550a-5p	22	17	20	16	14	11	7	8	3	8	9	6	23	15	9
hsa-miR-550b-2-5p	0	1	2	0	2	1	3	1	1	0	1	0	0	0	1
hsa-miR-550b-3p	2	0	1	1	0	0	0	1	1	2	0	0	1	2	0
hsa-miR-551a	5	3	2	7	1	3	7	2	2	6	6	1	7	2	2
hsa-miR-551b-3p	134	140	106	252	350	140	157	127	39	184	224	218	185	76	60
hsa-miR-551b-5p	2	1	2	1	3	0	0	1	3	1	2	0	3	1	1
hsa-miR-552-3p	3	0	0	1	2	2	4	1	0	3	6	4	1	1	1
hsa-miR-552-5p	0	4	1	2	3	1	1	0	1	2	1	1	3	2	0
hsa-miR-553	3	2	1	0	0	2	1	2	0	0	0	0	0	0	0
hsa-miR-554	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-555	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1
hsa-miR-556-3p	12	12	11	2	11	5	2	2	3	5	4	1	2	2	0
hsa-miR-556-5p	10	10	6	7	5	5	5	3	3	3	1	3	8	6	0
hsa-miR-557	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-5571-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5571-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5572	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-5579-3p	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-5579-5p	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-558	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
hsa-miR-5580-3p	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-5580-5p	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5581-3p	5	10	9	8	13	4	5	5	3	3	8	6	13	4	2
hsa-miR-5581-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5582-3p	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5582-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5583-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5583-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-5584-3p	2	7	2	5	2	2	3	2	0	2	0	0	2	0	0
hsa-miR-5584-5p	18	25	26	11	18	10	16	17	7	12	3	7	4	2	1
hsa-miR-5585-3p	22	29	25	22	16	3	1	3	2	3	2	1	4	1	2
hsa-miR-5585-5p	0	1	1	1	0	0	1	0	0	1	0	2	0	0	1
hsa-miR-5586-3p	0	1	2	0	1	1	0	0	0	0	0	1	2	0	1
hsa-miR-5586-5p	7	7	6	5	9	3	4	5	2	2	3	7	7	4	0
hsa-miR-5587-3p	4	2	2	2	1	1	1	2	0	0	0	0	1	0	0
hsa-miR-5587-5p	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1
hsa-miR-5588-3p	2	2	1	0	1	0	0	1	0	1	0	0	0	2	1
hsa-miR-5588-5p	12	9	7	5	7	2	5	5	1	2	1	1	2	2	2
hsa-miR-5589-3p	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1
hsa-miR-5589-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-559	511	562	421	463	608	496	309	281	57	283	550	502	713	469	225
hsa-miR-5590-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5590-5p	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-5591-3p	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-5591-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-561-3p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-561-5p	10	10	13	12	15	10	12	10	4	5	21	16	19	5	5
hsa-miR-562	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-563	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-564	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
hsa-miR-566	52	51	32	43	44	11	5	12	10	11	3	2	5	6	0
hsa-miR-567	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-568	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-5680	6	6	5	9	11	5	1	5	4	3	6	8	3	0	2
hsa-miR-5681a	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5681b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5682	5	1	1	2	1	0	0	1	1	0	0	0	2	0	0
hsa-miR-5683	75	117	84	84	101	56	50	60	17	44	90	84	117	127	23
hsa-miR-5684	12	11	6	3	8	3	2	2	3	2	1	2	2	3	1
hsa-miR-5685	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-5687	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-5688	5	7	3	5	3	23	3	5	1	3	14	15	11	8	4
hsa-miR-5689	8	8	4	2	4	1	1	1	2	0	2	0	0	2	0
hsa-miR-569	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0
hsa-miR-5690	0	1	1	0	1	6	0	1	0	0	0	2	6	4	0
hsa-miR-5691	2	2	1	1	1	0	0	0	0	1	2	0	1	0	0
hsa-miR-5692a	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5692b	1	2	2	1	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-5692c	1	2	1	0	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-5693	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-5694	1	1	0	0	2	0	0	1	0	0	0	0	1	1	0
hsa-miR-5695	9	6	1	3	3	4	6	8	5	6	10	6	16	6	6
hsa-miR-5696	1	1	3	2	0	1	0	1	0	0	0	0	1	1	0
hsa-miR-5697	0	3	0	1	0	1	0	0	0	0	1	1	2	0	1
hsa-miR-5698	3	4	0	0	0	0	1	0	0	1	1	0	0	0	0
hsa-miR-5699-3p	19	8	14	4	11	8	10	15	7	5	2	11	4	2	1
hsa-miR-5699-5p	51	76	61	46	45	56	67	44	31	38	25	40	31	9	11
hsa-miR-570-3p	2	5	5	0	2	1	4	1	2	1	4	2	2	1	2
hsa-miR-570-5p	3	6	3	1	5	1	1	1	1	1	2	1	4	2	1
hsa-miR-5700	8	4	9	4	7	8	2	1	3	5	3	6	3	1	1
hsa-miR-5701	9	9	3	6	19	4	5	10	1	0	7	5	5	4	5
hsa-miR-5702	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-5703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5704	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-5705	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
hsa-miR-5706	8	6	5	2	4	5	3	1	0	2	2	2	0	1	0
hsa-miR-5707	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-5708	0	3	1	0	1	1	1	2	1	0	1	0	0	0	0
hsa-miR-571	1	0	0	1	2	1	1	0	0	0	0	0	0	0	1
hsa-miR-572	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-573	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-5739	4	2	3	2	1	0	0	0	0	1	0	1	2	0	0
hsa-miR-574-3p	1632	1808	1440	1754	2053	1818	2223	1775	490	1758	1681	2390	2449	1717	425
hsa-miR-574-5p	47	51	47	48	52	42	78	64	15	97	56	82	92	60	29
hsa-miR-575	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-576-3p	17	32	23	20	22	23	22	25	10	23	24	18	23	33	14
hsa-miR-576-5p	78	66	70	72	83	53	37	56	16	95	46	65	77	79	35
hsa-miR-577	17202	17458	13640	11977	13463	7833	6310	5655	2233	6419	1756	4348	1991	691	199
hsa-miR-578	0	0	1	3	5	1	0	1	1	0	1	1	1	0	0
hsa-miR-5787	2	2	1	3	5	0	0	6	4	2	0	0	0	0	0
hsa-miR-579-3p	0	2	2	3	2	0	1	0	1	1	0	0	0	0	0
hsa-miR-579-5p	10	4	8	3	6	5	7	2	5	3	1	1	3	1	0
hsa-miR-580-3p	14	17	10	7	8	6	13	11	5	7	7	9	14	11	1
hsa-miR-580-5p	1	0	1	0	0	0	1	0	3	0	0	0	0	0	0
hsa-miR-581	1	1	3	0	1	0	2	1	0	0	1	0	0	0	0
hsa-miR-582-3p	402	440	338	390	477	159	372	293	125	179	193	191	183	84	61
hsa-miR-582-5p	293	327	259	336	354	151	131	133	49	266	122	148	140	41	26
hsa-miR-583	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-584-3p	12	7	14	12	5	9	6	4	7	8	4	2	2	2	0
hsa-miR-584-5p	7477	8109	6755	5739	6796	4003	7720	5706	2328	2637	1295	2796	1613	614	180
hsa-miR-585-3p	1	4	2	5	8	5	2	3	1	1	8	2	8	3	0
hsa-miR-585-5p	0	1	1	1	5	1	1	0	0	0	0	0	0	1	0
hsa-miR-586	1	1	0	1	0	2	1	0	0	0	0	0	0	0	1
hsa-miR-587	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-588	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
hsa-miR-589-3p	14	12	15	15	11	5	22	18	8	11	8	14	20	9	12
hsa-miR-589-5p	278	306	248	280	324	188	352	299	76	107	172	188	298	194	135
hsa-miR-590-3p	332	378	324	290	356	181	125	101	53	135	134	159	154	112	41
hsa-miR-590-5p	21	27	16	29	30	11	10	16	7	26	11	19	10	19	6
hsa-miR-591	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1
hsa-miR-592	51	59	59	79	93	37	54	45	12	81	42	90	56	23	20
hsa-miR-593-3p	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
hsa-miR-593-5p	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0
hsa-miR-595	10	15	12	3	4	1	1	0	0	0	0	0	0	0	0
hsa-miR-596	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
hsa-miR-597-3p	1	3	1	3	2	0	2	0	1	2	0	3	1	2	1
hsa-miR-597-5p	4	1	2	3	4	1	8	4	0	6	3	3	1	4	0
hsa-miR-598-3p	1296	1576	1124	1329	1683	820	1032	799	233	1154	975	1238	912	475	158
hsa-miR-598-5p	2	0	0	1	6	1	1	2	0	2	0	2	1	1	0
hsa-miR-599	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
hsa-miR-600	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0
hsa-miR-601	2	2	1	0	0	0	2	0	0	1	0	0	0	2	0
hsa-miR-602	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
hsa-miR-603	6	3	5	2	6	2	2	3	1	2	6	2	7	2	3
hsa-miR-604	0	1	1	0	0	1	1	0	0	0	0	0	2	0	0
hsa-miR-605-3p	1	1	0	2	0	1	0	1	0	0	0	1	0	1	0
hsa-miR-605-5p	0	0	1	3	0	0	0	0	0	0	2	0	3	2	0
hsa-miR-606	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-6068	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6069	0	1	0	1	2	1	0	0	0	0	0	0	2	0	0
hsa-miR-607	56	50	37	34	46	23	37	23	12	13	12	16	15	12	8
hsa-miR-6070	4	6	3	1	1	2	0	1	0	0	3	1	8	7	13
hsa-miR-6071	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6072	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-6073	425	536	502	572	673	989	962	858	518	969	1347	2739	1557	2222	2083
hsa-miR-6074	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6075	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-6076	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0
hsa-miR-6077	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6078	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-6079	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-608	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0
hsa-miR-6080	0	5	1	2	5	0	0	0	1	0	1	1	0	0	1
hsa-miR-6081	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6082	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6083	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6084	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0
hsa-miR-6085	1	2	0	0	1	0	2	0	0	0	1	1	0	0	0
hsa-miR-6086	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6087	153	175	126	308	353	81	130	164	113	35	20	10	24	68	44
hsa-miR-6088	5	2	1	2	4	0	1	2	1	0	0	0	0	0	0
hsa-miR-6089	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
hsa-miR-609	0	1	0	0	1	0	1	0	1	0	1	0	2	0	0
